Booking ID	Reservation Created At	Course Start	Activity	Age Group	Lesson Type	Number of Persons	Number of Days	Equipment Included	Customer Name	Email	Phone	List Price	OnLine Disctount	Seasonal Discount	Special Discount	Voucher Discount	Voucher Code	Total Price	Currency	Customer Note	Language	Booking Type	CONFIRMED	MANAGEMENT NOTE
30cbf144-ad84-4791-825b-1379d82b787a	2025-10-27T21:06:11.669303Z	2026-03-12	snowboard	adults	private	2	3	Yes	Adolf Hitrel	vojtapoledno@gmail.com	420737859524	15940	3.00%	7.00%				14346	CZK		de	customer	no	
50fc1d20-efe1-4f0d-af00-6da5bc9d5ead	2025-11-11T11:16:32.099340Z	2026-03-12	snowboard	adults	private	2	3	Yes	Adolf Hitrel	vojtapoledno@gmail.com	420737859524	14346			83.65%			2346	CZK		de	office	no	
932ce802-6355-4314-902e-7bbac18e510b	2025-10-15T10:22:47.062422Z	2026-03-02	snowboard	children	group	5	5	Yes	Top Narty	vojtapoledno@gmail.com	420737859524	33930			0			33930	CZK	Test	pl	office	yes	
f37884ae-935f-42d6-bd63-0c3d68210de4	2025-11-11T11:11:59.951129Z	2026-03-02	snowboard	children	group	5	5	Yes	Top Narty	vojtapoledno@gmail.com	420737859524	33930			10.00%			30537	CZK	Test	cs	office	yes	
b468e94f-08f7-4bdc-8552-2c4f5608417a	2025-11-11T11:12:55.630505Z	2026-03-02	snowboard	children	group	5	5	Yes	top arty 	vojtapoledno@gmail.com	737859524	33930			0			33930	CZK	test test test	cs	office	no	
631db032-e05d-4f29-9c34-48af36cc0eaa	2025-10-14T13:07:48.608786Z	2026-03-01	snowboard	children	group	5	5	Yes	Top Narty	vojtapoledno@gmail.com	420737859524	37700	3.00%	3.00%				35438	CZK	Test	pl	customer	yes	
e8091de2-d708-4947-9f93-63322c9a55c5	2025-12-04T14:55:34.111395Z	2026-02-23	skis	children	group	1	3	Yes	Martin Hrubý - TEST	martin@levnelyze.cz	777777777	4260			10.00%			3834	CZK	Vaši objednávku nemůžeme potvrdit. Nabízíme však tuto alternativu  toto je nova	cs	office	no	
c10d3bc9-81a2-4963-bad5-860483c01e60	2025-10-14T12:21:24.382561Z	2026-02-23	snowboard	adults	private	3	5	Yes	Mohammad Poledno	vojtapoledno@gmail.com	420123456789	24290	3.00%	5.00%				22347	CZK	test test	cs	customer	yes	
35a9745a-c366-4bbc-a7a0-c7f20fc51b8e	2025-12-04T14:39:35.493749Z	2026-02-22	skis	children	group	1	3	Yes	Martin Hrubý - TEST	martin@levnelyze.cz	777777777	4260			0			4260	CZK	Vaši objednávku nemůžeme potvrdit. Nabízíme však tuto alternativu	cs	office-replaced-e8091de2-d708-4947-9f93-63322c9a55c5		
a7ad8d4e-8234-4f52-8168-b4c6c9ede850	2025-10-14T12:34:57.849204Z	2026-02-05	skis	adults	group	5	5	Yes	Petr Pavel	info@levnelyze.cz	420602492169	36500	3.00%	5.00%				33580	CZK	Test test	en	customer	yes	
